id	cat	name_zh	spec_zh	img
488598	작업전극	标准玻碳电极	玻碳电极，工作电极 | 玻碳直径：1mm、2mm、3mm、4mm、5mm、6mm、7mm、8mm、10mm长度均为5-10mm。 | 玻碳产地：美国、日本 | 外套材质：PTFE、PEEK、PCTFE | 外套直径：3mm ~ 17mm | 电极总长：75mm，可加长。 | 外套长度：60mm | 电极尾部为镀金导线柱永不氧化。	20113074.png
3643918	작업전극	阵列工作电极	(사양이 이미지로만 게시됨)	
479900	작업전극	金盘工作电极	金盘工作电极 | 黄金直径：1mm、2mm、3mm、4mm、5mm，长度均为5mm。 | 黄金纯度：99.999% | 黄金产地：美国、日本 | 外套材质：PTFE、PEEK、PCTFE | 外套直径：3mm ~ 8mm | 外套长度：60mm | 电极总长：75mm，可加长 | 电极尾部为镀金导线柱永不氧化。	20113074.png
488984	작업전극	铂盘工作电极	铂盘工作电极 | 杆子材质：PTFE、PEEK | 尺寸：杆长60mm，铜棒15mm | 铂盘直径：1mm、2mm、3mm、4mm、5mm、6mm纯度99.99%。	20113074.png
489000	작업전극	L型工作电极	L型工作电极 | 内镶嵌盘直径：1mm、2mm、3mm、4mm、5mm，6mm、7mm、8mm、10mm长度为5-10mm。 | 内镶嵌盘纯度：99.999%或光谱纯 | 内镶嵌盘产地：日本 | 外套材质：PTFE、PEEK | 外套直径：6mm ~10mm | 电极总长：大于75mm | 电极尾部为镀金导线柱永不氧化	20122735.png
488997	작업전극	T型工作电极	T型玻碳电极，工作电极 | 包括：玻碳、金、铂、银、石墨、热解石墨、同性碳石墨、钯电极、铜、锌、铝等各种金属皆可以加工 | 镶嵌盘直径2mm、3mm、4mm、5mm、6mm。 | 铜棒镀金防腐，尺寸为1.5*15mm | 杆材质：聚四氟乙烯 | 长度可根据要求定制	20122652.png
479894	작업전극	电镜工作电极	可拆电镜电极 | 英文名称: Electron electrode | 型号规格: 2mm、3mm、4mm、5mm、6mm | 电镜电极头长度为5mm。 | 镶嵌盘直径2mm、3mm、4mm、5mm、6mm。电镜头小于9mm | 电镜电极外套：PEEK、PTFE封装。绝不渗液 | 可封装各种材质如：玻碳、金、铂、银、石墨、热解石墨、铬、镉、铜等	20127006.png
479895	작업전극	磁力工作电极	电极杆材质：聚四氟乙烯 | 电极杆子直径：可拆电极12mm、不可拆电极10mm | 磁铁直径：6mm | 磁铁长度：50mm | 磁力：不低于5000高斯 | 可封装各种材质如：玻碳、金、铂、银、石墨、热解石墨、铬、镉、铜等	20127068.png
479896	작업전극	多功能组合工作电极	多功能组合工作电极 | 英文名称: Multi-functional combination electrode | 型号规格: 2mm、3mm、4mm、5mm | 镶嵌盘直径2mm、3mm、4mm、5mm。电极头厚度小于4mm，可做一般电极使用，也可做扫描电镜 | 可封装各种材质如：玻碳、金、铂、银、石墨、热解石墨、铬、镉、铜等	20127101.png
479897	작업전극	碳糊电极（粉末样品）	碳糊电极（填充粉末样品） | 碳糊电极分类：可调碳糊电极、不可调碳糊电极 | 碳糊直径：2mm、3mm、4mm、5mm | 外套材质：PTFE | 外套直径：6mm ~ 8mm | 电极总长：75mm，可加长。 | 电极尾部为镀金导线柱永不氧化。	20127274.png
