id	cat	name_zh	spec_zh	img
313739	리튬전지in-situ	基础锂电池测试池（两电极）	(사양 이미지만)	176564313.png
313757	리튬전지in-situ	基础锂电池测试池（三电极）	(사양 이미지만)	176564619.jpg
313783	리튬전지in-situ	压力电池评价测试池（三电极）	(사양 이미지만)	176565225.png
495795	리튬전지in-situ	压力电池评价测试池（两电极）	(사양 이미지만)	176565098.png
313791	리튬전지in-situ	推进式压力电池测试池	(사양 이미지만)	176565280.png
313797	리튬전지in-situ	原位电池模拟观测池（可调节扭力枝晶）	(사양 이미지만)	176565344.png
495367	리튬전지in-situ	原位锂电池模拟观测池（锂枝晶）	(사양 이미지만)	29864563.png
5925041	리튬전지in-situ	固态电池夹具	(사양 이미지만)	59307209.png
968940	리튬전지in-situ	原位红外锂电池测试池	(사양 이미지만)	25826733.png
608608	리튬전지in-situ	世伟洛克式电池测试池	(사양 이미지만)	176565451.png
495838	리튬전지in-situ	原位XRD锂电测试池-两电极	(사양 이미지만)	176564374.png
495807	리튬전지in-situ	原位XRD锂电池测试池（三电极）	(사양 이미지만)	176564398.png
495657	리튬전지in-situ	原位拉曼锂电测试池-两电极体系	(사양 이미지만)	176564500.jpg
495642	리튬전지in-situ	原位拉曼锂电池测试池（三电极）	(사양 이미지만)	176564809.png
495608	리튬전지in-situ	拉曼压力电池测试池（两电极）	(사양 이미지만)	176565162.png
495590	리튬전지in-situ	拉曼压力电池测试池（三电极）	(사양 이미지만)	176565249.png
49173	전기화학in-situ	原位质谱电化学池	(사양 이미지만)	173031130.jpg
2473582	전기화학in-situ	多功能原位测试池	(사양 이미지만)	48170718.png
2345980	전기화학in-situ	原位拉曼蛇形流道气体扩散电解池	(사양 이미지만)	173059383.jpg
2282078	전기화학in-situ	原位X射线吸收谱反应池	(사양 이미지만)	45908684.png
1198643	전기화학in-situ	质谱-原位红外测试池	(사양 이미지만)	28733169.jpg
1198611	전기화학in-situ	原位质谱流动电化学池	(사양 이미지만)	28733033.jpg
1088788	전기화학in-situ	原位拉曼气体扩散3H型电解池	(사양 이미지만)	
497618	전기화학in-situ	原位拉曼电化学池	(사양 이미지만)	
497598	전기화학in-situ	原位拉曼H型可换膜电解池	(사양 이미지만)	54619926.png
497594	전기화학in-situ	原位拉曼气体扩散H型电解池	(사양 이미지만)	45907965.jpg
907253	전기화학in-situ	原位XRD电化学测试池	(사양 이미지만)	54621071.png
907218	전기화학in-situ	原位拉曼电化学池（盘状基底）	改款拉曼池可通过升级窗口做XRD测试	27236062.png
495364	전기화학in-situ	原位和频光谱测试池	原位和频光谱测试池 | 产品型号：19008 | 内部尺寸：20*5*5mm | 参比电极：银氯化银R1038（标配） | 对比电极：铂丝（1*10mm标配） | 工作电极：碳布、碳纸（裁剪30*10mm需单独购买）	20689406.jpg
499682	전기화학in-situ	原位红外光谱电化学池-透射	电化学原位红外光谱分析能够定性分析电催化(如CO2电还原等)反应、各种类型电池充放电过程中电极表面的产物或中间产物随时间(电位)不断变化的趋势	20281787.jpg
499662	전기화학in-situ	原位红外H型电化学池-外反射	外反射模式: | (1)在基底电极(如GCE)表面电沉积或滴涂电催化剂作为工作电极。 | (2)工作电极距离晶体的距离可以调节。 | (3)晶体可选Ge，ZnSe，CaF2，Si等。	20638023.jpg
499638	전기화학in-situ	原位红外H型电化学池-内反射	内反射模式: | (1)在单晶硅(Si)上化学镀或真空镀一层纳米金膜，纳米金属膜具有表面增强效应。 | (2)纳米金膜可作为导电基底，在导电基底上滴涂或电沉积上电催化剂，作为工作电极。 | (3)表面增强红外，可得到电催化剂吸附态产物以及中间产物信息。	20638021.jpg
