id	cat	name_zh	name_ko
196479	전기화학재료	X37-50 GradelRT交换膜	X37-50 GradeIRT 교환막
491804	전기화학재료	阴离子交换膜-FUMA	음이온교환막 FUMA
491797	전기화학재료	质子交换膜N115	양성자교환막 Nafion 115
491785	전기화학재료	质子交换膜N117	양성자교환막 Nafion 117
491783	전기화학재료	质子交换膜N211	양성자교환막 Nafion 211
491760	전기화학재료	亲水碳纸（弱疏水）	친수 카본페이퍼 (약소수성)
491751	전기화학재료	疏水碳纸	소수 카본페이퍼
491741	전기화학재료	亲水碳布（弱疏水）	친수 카본클로스 (약소수성)
491735	전기화학재료	疏水碳布	소수 카본클로스
491714	전기화학재료	进口玻碳片	수입 유리탄소판
491708	전기화학재료	进口石墨片	수입 흑연판
491701	전기화학재료	泡沫镍	폼 니켈
491694	전기화학재료	泡沫铜	폼 구리
491686	전기화학재료	银丝	은선
491660	전기화학재료	进口网状玻璃碳（RVC）	수입 다공성 유리탄소 RVC
491653	전기화학재료	铂丝	백금선
491649	전기화학재료	黄金丝	금선
491643	전기화학재료	铂金片	백금판
491640	전기화학재료	各种金属片	각종 금속판
499394	정밀맞춤	液流电池测试池	흐름전지 테스트 셀
499012	정밀맞춤	定制底部光照电化学池-200512	맞춤 하부조사 전기화학셀 200512
492235	정밀맞춤	精品定制2020051201	맞춤제작 2020051201
492232	정밀맞춤	精品定制2020050201	맞춤제작 2020050201
492227	정밀맞춤	精品定制2020051203	맞춤제작 2020051203
492212	정밀맞춤	精品定制2020050801	맞춤제작 2020050801
492160	정밀맞춤	精品定制2020050601	맞춤제작 2020050601
492145	정밀맞춤	精品定制2020043002	맞춤제작 2020043002
492126	정밀맞춤	精品定制20200508	맞춤제작 20200508
492094	정밀맞춤	精品定制20200509	맞춤제작 20200509
492088	정밀맞춤	精品定制2020043001	맞춤제작 2020043001
3193111	CO2RR음극촉매	CO₂RR 催化剂（Bi₂O₃基粉末）	CO2RR 촉매 (Bi2O3계 분말)
3193106	CO2RR음극촉매	CO₂RR 催化剂（Ag基粉末）	CO2RR 촉매 (Ag계 분말)
