web_id	분류	제품명(중문)	제품명(한글)	SQL 제품군	SQL행	가격대	판정
488598	작업전극	标准玻碳电极	표준 유리탄소(GC) 작업전극	(없음)	0	—	★신규 — SQL에 GC 디스크 작업전극 없음
488984	작업전극	铂盘工作电极	백금 디스크 작업전극	백금판 작업전극 99.99%	7	158,000~962,000	확정
479900	작업전극	金盘工作电极	금 디스크 작업전극	금판 작업전극 99.999%	7	140,000~3,500,000	확정
479897	작업전극	碳糊电极（粉末样品）	카본페이스트 전극 (분말 시료)	카본페이스트 전극 조절형/비조절형	2	70,000	확정
479894	작업전극	电镜工作电极	전자현미경 겸용 작업전극	(형상 구분 없음)	0	—	★신규 — SQL은 재질만 구분, 형상 미구분
479895	작업전극	磁力工作电极	자력 작업전극	(형상 구분 없음)	0	—	★신규
479896	작업전극	多功能组合工作电极	다기능 조합 작업전극	(형상 구분 없음)	0	—	★신규
489000	작업전극	L型工作电极	L형 작업전극	(형상 구분 없음)	0	—	★신규
488997	작업전극	T型工作电极	T형 작업전극	(형상 구분 없음)	0	—	★신규
3643918	작업전극	阵列工作电极	어레이 작업전극	(없음)	0	—	★신규 · 사양도 이미지만
489401	작업전극	简单电极架	간이 전극 홀더	간이 전극 홀더	5	175,000	확정 — 단 우리는 '클램프' 분류
479899	작업전극	电极烘干支架	전극 건조 거치대	전극 건조 거치대	1	88,000	확정 — 단 우리는 '클램프' 분류
489727	기준전극	氯化银电极-单盐桥	염화은 기준전극 (단염교)	염화은 기준전극 R1038/R1060/R1038K/R1060K/PK-1020/PK-1038/이중접점	8	70,000~333,000	확정
489739	기준전극	氯化银电极-双盐桥	염화은 기준전극 (이중염교)	염화은 기준전극 R8060	1	140,000	확정
489683	기준전극	银-银离子电极	은-은이온 기준전극	은이온 기준전극 4038/4060	2	70,000	확정
489826	기준전극	饱和甘汞电极（SCE）	포화칼로멜 기준전극	포화칼로멜 232표준/232연장/세경/217쌍염교/1545	5	35,000~70,000	확정
489876	기준전극	硫酸亚汞电极	황산제일수은 기준전극	황산제일수은 표준/연장형/세경	3	70,000~105,000	확정
489907	기준전극	氧化汞电极	산화수은 기준전극	산화수은 표준/연장/세경/이중염다리/사불화/Hg-1038	6	140,000~472,000	확정
489942	기준전극	标准氢参比电极	표준수소 기준전극	(없음 — RHE 10101 별도 분류)	0	—	검토 — 가역수소전극(RHE) 3행과 동일 제품인지 확인 필요
489918	기준전극	鲁金毛细管-盐桥	루긴 모세관 염다리	염다리 루긴 모세관	1	35,000	확정
489935	기준전극	砂芯盐桥	프릿(사심) 염다리	염다리 직선형140/직선형170/굴곡형	3	35,000	확정
490054	상대전극	铂片电极	백금판 전극	백금판 전극	34	88,000~2,450,000	확정
490061	상대전극	铂网电极	백금망 전극	백금망 전극	8	280,000~840,000	확정
490078	상대전극	铂丝电极	백금선 전극	백금선 전극 PT0537 / PT1037	2	175,000~665,000	확정 — 웹 φ0.5×37·1×37mm ↔ SQL 0.5×37·1.0×37mm 정확 일치
490093	상대전극	铂柱电极	백금봉 전극	백금봉 전극 PT1005 / PT1010	2	175,000~280,000	확정
490140	상대전극	带盐桥铂丝电极	염다리형 백금선 전극	염다리형 백금선 전극 PT052300	1	840,000	확정 — 0.5×230mm 염다리형
490147	상대전극	石墨棒电极	흑연봉 전극	흑연봉 전극 국산/수입/연장 + 흑연 베어로드	6	35,000~문의	확정
490128	상대전극	黄金片对电极	금판 상대전극	(없음)	0	—	★신규 — 금판 상대전극(두께 0.1~1mm, PTFE Φ6, 길이 60~120mm)
490120	상대전극	螺旋金丝对电极	나선 금선 상대전극	금선 전극 주문제작	1	문의	확정 — SQL 전방 스프링 Φ4mm ↔ 웹 나선 금선 0.5×230mm
490114	상대전극	螺旋铂丝电极	나선 백금선 상대전극	백금선 전극 PT0523	1	770,000	확정 — 웹 나선 백금선 0.5×230mm ↔ SQL PT0523 0.5×230mm
491384	회전전극	旋转圆盘电极-RDE外螺纹	RDE 회전원판전극 (외나사)	회전원판전극 (RDE, 미국식 조립)	3	1,050,000~2,800,000	확정
491371	회전전극	旋转圆盘电极-RDE内螺纹	RDE 회전원판전극 (내나사)	회전원판전극 (RDE, 일본식)	5	1,050,000~2,800,000	검토 — 외/내나사 ↔ 미국식/일본식 대응 확인 필요
491381	회전전극	旋转环盘电极-RRDE	RRDE 회전링원판전극	회전링원판전극 (RRDE, 미국식 조립·백금링)	3	3,150,000~4,550,000	확정
491369	회전전극	旋转圆盘电极-RRDE-3A	RRDE-3A 회전원판전극	(구분 없음)	0	—	★신규 — 일본 RRDE-3A 장비 호환형
491366	회전전극	旋转环盘电极-RRDE-3A	RRDE-3A 회전링원판전극	회전링원판전극 (RRDE, 일본식·백금링)	3	2,800,000~10,150,000	검토
491360	회전전극	旋转银-银离子电极	회전 은-은이온 전극	(없음)	0	—	★신규
491358	회전전극	电镜旋转圆盘电极-RDE外螺纹	전자현미경 겸용 RDE (외나사)	(없음)	0	—	★신규
491343	회전전극	电镜旋转圆盘电极	전자현미경 겸용 RDE	(없음)	0	—	★신규
491348	회전전극	耐高温旋转圆盘电极	내고온 RDE (최고 300℃)	(없음)	0	—	★신규
491391	회전전극	旋转圆盘/环盘电极滴涂支架	회전전극 적하 코팅 지그	회전전극 홀더 표준	1	210,000	검토 — 같은 물건인지 확인 필요
490901	전극클램프	铂电极夹-PTFE	백금 전극 클램프 PTFE (PT-X)	백금시트 전극 클램프	3	315,000	확정
