web_id	분류	제품명(중문)	제품명(한글)	코드	SQL행	가격대	SQL소분	판정
494983	일반셀	C001标准可变径电解池	C001 표준 구경가변 전해셀	C001	14	53,000~315,000	단실 유리 전해셀	확정
494960	일반셀	C002直型五口电解池	C002 직립 5구 전해셀	C002	34	245,000~1,155,000	단실 유리 전해셀	확정
494962	일반셀	C002-2直型五口电解池-内插式	C002-2 직립 5구 전해셀 (내삽식)	C002-2	18	245,000~1,155,000	단실 유리 전해셀	확정
494929	일반셀	C004传统五口电解池	C004 전통 5구 전해셀	C004	16	1,190,000~3,500,000	단실 유리 전해셀	확정
494944	일반셀	C004-2全四氟传统五口电解池	C004-2 전(全)PTFE 전통 5구 전해셀	C004-2	16	1,190,000~3,500,000	단실 유리 전해셀	확정
494956	일반셀	多功能组合电解池	다기능 조합 전해셀	(없음)	0	—	—	★신규 — 다기능 조합 전해셀
493676	일반셀	C009球形腐蚀测试池	C009 구형 부식 시험셀	C009	4	1,680,000~2,205,000	부식 시험·석영 전해셀	확정
493672	일반셀	C010平板腐蚀测试池	C010 평판 부식 시험셀	C010	8	122,000~2,800,000	부식 시험·석영 전해셀	확정
493669	일반셀	C011涂层评价测试池	C011 코팅 평가 시험셀	C011	12	350,000~875,000	부식 시험·석영 전해셀	확정
493660	일반셀	C019侧面光照电化学池	C019 측면 조사 전기화학셀	C019	12	525,000~753,000	광전기화학·광촉매 셀	확정
493619	일반셀	C026全四氟电解池	C026 전PTFE 전해셀	C026	24	595,000~2,450,000	광전기화학·광촉매 셀	확정
493631	일반셀	C026-2全四氟电化学池	C026-2 전PTFE 전기화학셀	C026-2	6	665,000~2,275,000	광전기화학·광촉매 셀	확정
493585	일반셀	C029全四氟光电化学池	C029 전PTFE 광전기화학셀	C029 (없음)	0	—	—	★신규 — C029 전PTFE 광전기화학셀
493555	일반셀	全四氟板状/片状作业电解池	전PTFE 판상/편상 시편 작업 전해셀	C030	3	403,000	—	확정 — SQL 퍼플루오로 판상 작업전극 전해셀 C030
493539	일반셀	电解池配件	전해셀 부속	ACC	16	17,000~245,000	—	확정 — SQL 전해셀 부속·소모품 ACC
2473591	일반셀	电化学发光电解池	전기화학발광(ECL) 전해셀	C014PK-ECL	1	980,000	—	확정 — 전기화학발광 전해셀
498030	H형셀	C007可换膜H型电解池	C007 막교체 H형 전해셀	C007	35	350,000~1,400,000	격막 교환형 전해셀	확정
498020	H형셀	C007可换膜H型电解池-带取样	C007 막교체 H형 전해셀 (시료채취 포트)	C007	35	350,000~1,400,000	격막 교환형 전해셀	확정
497988	H형셀	C007-10可换膜H型电解池	C007-10 막교체 H형 전해셀	C007-10	3	578,000~1,050,000	격막 교환형 전해셀	확정
497906	H형셀	C008可换膜3H型电解池	C008 막교체 3H형 전해셀	C008	29	630,000~1,575,000	격막 교환형 전해셀	확정
497899	H형셀	C008-10可换膜3H型电解池	C008-10 막교체 3H형 전해셀	C008-10	1	문의/없음	격막 교환형 전해셀	확정
497825	H형셀	C023带光窗可换膜H型电解池	C023 광창형 막교체 H형 전해셀	C023	29	700,000~1,575,000	광전기화학·광촉매 셀	확정
497812	H형셀	C023-10带光窗可换膜H型电解池	C023-10 광창형 막교체 H형 전해셀	C023-10	5	805,000~1,400,000	광전기화학·광촉매 셀	확정
497787	H형셀	C024双光窗可换膜H型电解池	C024 이중광창 막교체 H형 전해셀	C024	26	1,050,000~5,425,000	광전기화학·광촉매 셀	확정
497780	H형셀	C024-10双光窗可换膜H型电解池	C024-10 이중광창 막교체 H형 전해셀	C024-10	2	1,050,000~1,103,000	광전기화학·광촉매 셀	확정
497762	H형셀	C025可换膜3H型电解池	C025 막교체 3H형 전해셀	C025	27	805,000~1,680,000	광전기화학·광촉매 셀	확정
497749	H형셀	C025-10可换膜3H型电解池	C025-10 막교체 3H형 전해셀	C025-10	3	805,000~1,050,000	광전기화학·광촉매 셀	확정
497668	H형셀	C027全四氟可换膜电解池	C027 전PTFE 막교체 전해셀	C027	16	1,103,000~4,550,000	광전기화학·광촉매 셀	확정
497645	H형셀	C032-1全四氟H型可换膜电解池	C032-1 전PTFE H형 막교체 전해셀	C032-1	4	875,000~1,103,000	광전기화학·광촉매 셀	확정
497639	H형셀	C032-2全四氟H型可换膜电解池	C032-2 전PTFE H형 막교체 전해셀	C032-2	2	1,050,000~1,050,000	광전기화학·광촉매 셀	확정
495500	H형셀	P002耐高压H型可换膜电解池	P002 내고압 H형 막교체 전해셀	P002	2	10,325,000~11,550,000	고압 전기화학 셀·계측 장비	확정
495495	H형셀	P003耐高压H型可换膜电解池	P003 내고압 H형 막교체 전해셀	P003	4	21,000,000~24,500,000	고압 전기화학 셀·계측 장비	확정
495158	석영분광셀	C012-1全石英方形光电化学池	C012-1 전석영 사각 광전기화학셀	C012-1	5	647,000~1,522,000	부식 시험·석영 전해셀	확정
495157	석영분광셀	C012-2全石英方形光电化学池	C012-2 전석영 사각 광전기화학셀	C012-2	4	997,000~1,575,000	부식 시험·석영 전해셀	확정
495152	석영분광셀	C013-1薄层光谱测试电化学池	C013-1 박층 분광 전기화학셀	C013-1	1	1,312,000~1,312,000	부식 시험·석영 전해셀	확정
495143	석영분광셀	C013-2薄层光谱测试电化学池	C013-2 박층 분광 전기화학셀	C013-2	1	2,800,000~2,800,000	부식 시험·석영 전해셀	확정
495090	석영분광셀	C013-UV4000石英光谱池	C013-UV4000 석영 분광셀	C013-UV4000	3	1,312,000~2,800,000	부식 시험·석영 전해셀	확정
495077	석영분광셀	C014全石英小光电化学池-开放式	C014 전석영 소형 광전기화학셀 (개방형)	C014	5	403,000~980,000	부식 시험·석영 전해셀	확정
495073	석영분광셀	C015全石英密封小光电化学池	C015 전석영 밀폐 소형 광전기화학셀	C015	2	753,000~2,275,000	부식 시험·석영 전해셀	확정
495055	석영분광셀	C017全石英光电化学池	C017 전석영 광전기화학셀	C017	2	2,800,000~2,800,000	부식 시험·석영 전해셀	확정
495030	석영분광셀	C018侧面光照全石英电化学池	C018 측면조사 전석영 전기화학셀	C018	12	1,278,000~2,555,000	부식 시험·석영 전해셀	확정
2337501	전용기능셀	纯光催化反应池	순광촉매 반응셀	C033-1/C033-2	2	1,750,000	—	확정 — 순광촉매 반응셀
608608	전용기능셀	世伟洛克式电池测试池	Swagelok형 전지 테스트 셀	B001-1~B001-4	4	1,460,000~1,925,000	—	확정 — Swagelok형 전지 테스트 셀
499453	전용기능셀	锌空气电池装置	아연-공기 전지 장치	Zn-1/Zn-2	2	1,540,000	—	확정 — 아연-공기 전지 장치
493549	전용기능셀	膜电导率测试装置	막 전도도 측정 장치	C034-1/C034-2	2	3,412,000	—	확정 — 막 전도도 측정 장치
