sku	소분	모델	옵션	정가
GU-REFERE-R1038	기준전극	R1038	표준	70000
GU-REFERE-R1060-Standard	기준전극	R1060-Standard	표준	70000
GU-REFERE-R1060-Extended	기준전극	R1060-Extended	연장형	70000
GU-REFERE-R8060	기준전극	R8060	이중 염다리	140000
GU-REFERE-PK-1020	기준전극	PK-1020	PEEK 로드	333000
GU-REFERE-PK-1038	기준전극	PK-1038	PEEK 로드	333000
GU-REFERE-R1038K	기준전극	R1038K	갈색 내광형	70000
GU-REFERE-R1060K	기준전극	R1060K	다갈색 내광형	70000
GU-REFERE	기준전극	이중접점형	이중 접점	228000
GU-REFERE-232	기준전극	232 표준	232 표준	35000
GU-REFERE-232-2	기준전극	232 연장형	232 연장형	53000
GU-REFERE-3-8mm	기준전극	세경 3.8mm	세경 3.8mm	70000
GU-REFERE-217	기준전극	217 (쌍염교)	217 (쌍염교)	70000
GU-REFERE-1545	기준전극	1545	1545	70000
GU-REFERE-2	기준전극	표준	표준	70000
GU-REFERE-3	기준전극	연장형	연장형	88000
GU-REFERE-3-8mm-2	기준전극	세경 3.8mm	세경 3.8mm	105000
GU-REFERE-4	기준전극	표준	표준	140000
GU-REFERE-5	기준전극	연장형	연장형	175000
GU-REFERE-3-8mm-3	기준전극	세경 3.8mm	세경 3.8mm	175000
GU-REFERE-6	기준전극	이중 염다리	이중 염다리	175000
GU-REFERE-7	기준전극	사불화형	사불화형	245000
GU-REFERE-Hg-1038	기준전극	Hg-1038	PEEK 로드	472000
GU-REFERE-4038	기준전극	4038	4038	70000
GU-REFERE-4060	기준전극	4060	4060	70000
GU-REFERE-140mm	기준전극	직선형 140mm	직선형 140mm	35000
GU-REFERE-170mm	기준전극	직선형 170mm	직선형 170mm	35000
GU-REFERE-8	기준전극	굴곡형	굴곡형	35000
GU-REFERE-9	기준전극	루긴 모세관	루긴 모세관	35000
GU-RHE-10101	가역수소전극	10101	PTFE 바디 · pH 2~16 · 내부 전해액 불필요	2100000
GU-RHE-10101-1	가역수소전극	10101-1	RHE 전용	350000
GU-RHE-10101-2	가역수소전극	10101-2	RHE 전용	175000
GU-COUNTE-PT0537	상대전극	PT0537	0.5×37mm 노출	175000
GU-COUNTE-PT1037	상대전극	PT1037	1.0×37mm 노출	665000
GU-COUNTE-PT0523	상대전극	PT0523	0.5×230mm 노출	770000
GU-COUNTE-PT1005	상대전극	PT1005	1.0×5mm 노출	175000
GU-COUNTE-PT1010	상대전극	PT1010	1.0×10mm 노출	280000
GU-COUNTE-PT052300	상대전극	PT052300	0.5×230mm 노출	840000
GU-COUNTE	상대전극	주문제작	전방 스프링 Φ4mm	0
GU-COUNTE-Pt1010	상대전극	Pt1010	10×10mm · 52 mesh	280000
GU-COUNTE-Pt1015	상대전극	Pt1015	10×15mm · 52 mesh	333000
GU-COUNTE-Pt1020	상대전극	Pt1020	10×20mm · 52 mesh	385000
GU-COUNTE-Pt1030	상대전극	Pt1030	10×30mm · 52 mesh	472000
GU-COUNTE-Pt1515	상대전극	Pt1515	15×15mm · 52 mesh	420000
GU-COUNTE-Pt2020	상대전극	Pt2020	20×20mm · 52 mesh	560000
GU-COUNTE-Pt3030	상대전극	Pt3030	30×30mm · 52 mesh	840000
GU-COUNTE-Pt-R20	상대전극	Pt-R20	Φ20mm · 52 mesh	525000
GU-COUNTE-Pt0505-1	상대전극	Pt0505-1	5×5×0.1mm	175000
GU-COUNTE-Pt0505-2	상대전극	Pt0505-2	5×5×0.2mm	210000
GU-COUNTE-Pt0505-3	상대전극	Pt0505-3	5×5×0.3mm	245000
GU-COUNTE-Pt0510-1	상대전극	Pt0510-1	5×10×0.1mm	210000
GU-COUNTE-Pt0510-2	상대전극	Pt0510-2	5×10×0.2mm	280000
GU-COUNTE-Pt0510-3	상대전극	Pt0510-3	5×10×0.3mm	315000
GU-COUNTE-Pt1010-1	상대전극	Pt1010-1	10×10×0.1mm	280000
GU-COUNTE-Pt1010-2	상대전극	Pt1010-2	10×10×0.2mm	367000
GU-COUNTE-Pt1010-3	상대전극	Pt1010-3	10×10×0.3mm	455000
GU-COUNTE-Pt1010-5	상대전극	Pt1010-5	10×10×0.5mm	630000
GU-COUNTE-Pt1015-1	상대전극	Pt1015-1	10×15×0.1mm	315000
GU-COUNTE-Pt1015-2	상대전극	Pt1015-2	10×15×0.2mm	455000
GU-COUNTE-Pt1015-3	상대전극	Pt1015-3	10×15×0.3mm	595000
GU-COUNTE-Pt1015-5	상대전극	Pt1015-5	10×15×0.5mm	858000
GU-COUNTE-Pt1020-1	상대전극	Pt1020-1	10×20×0.1mm	367000
GU-COUNTE-Pt1020-2	상대전극	Pt1020-2	10×20×0.2mm	560000
GU-COUNTE-Pt1020-3	상대전극	Pt1020-3	10×20×0.3mm	717000
GU-COUNTE-Pt1020-5	상대전극	Pt1020-5	10×20×0.5mm	1033000
GU-COUNTE-Pt1030-1	상대전극	Pt1030-1	10×30×0.1mm	455000
GU-COUNTE-Pt1030-2	상대전극	Pt1030-2	10×30×0.2mm	717000
GU-COUNTE-Pt1030-3	상대전극	Pt1030-3	10×30×0.3mm	980000
GU-COUNTE-Pt1030-5	상대전극	Pt1030-5	10×30×0.5mm	1540000
GU-COUNTE-Pt1515-1	상대전극	Pt1515-1	15×15×0.1mm	403000
GU-COUNTE-Pt1515-2	상대전극	Pt1515-2	15×15×0.2mm	595000
GU-COUNTE-Pt1515-3	상대전극	Pt1515-3	15×15×0.3mm	770000
GU-COUNTE-Pt1515-5	상대전극	Pt1515-5	15×15×0.5mm	1138000
GU-COUNTE-Pt2020-1	상대전극	Pt2020-1	20×20×0.1mm	560000
GU-COUNTE-Pt2020-2	상대전극	Pt2020-2	20×20×0.2mm	892000
GU-COUNTE-Pt2020-3	상대전극	Pt2020-3	20×20×0.3mm	1208000
GU-COUNTE-Pt2020-5	상대전극	Pt2020-5	20×20×0.5mm	0
GU-COUNTE-Pt3030-1	상대전극	Pt3030-1	30×30×0.1mm	962000
GU-COUNTE-Pt3030-2	상대전극	Pt3030-2	30×30×0.2mm	1680000
GU-COUNTE-Pt3030-3	상대전극	Pt3030-3	30×30×0.3mm	2450000
GU-COUNTE-Pt213	상대전극	Pt213	5×2×0.2mm	88000
GU-COUNTE-6-75	상대전극	수입형 6×75	6×75mm · 순도 99.99%	0
GU-COUNTE-6-100	상대전극	수입 연장형 6×100	6×100mm · 순도 99.99%	0
GU-COUNTE-6-75-2	상대전극	국산형 6×75	6×75mm · 순도 98%	35000
GU-COUNTE-6-100-2	상대전극	국산 연장형 6×100	6×100mm · 순도 98%	35000
GU-COUNTE-6-75-3	상대전극	수입형 6×75	6×75mm · 순도 99.99%	0
GU-COUNTE-6-75-4	상대전극	국산형 6×75	6×75mm · 순도 98%	35000
GU-WORKIN-1mm	작업전극	1mm	Φ1mm	578000
GU-WORKIN-2mm	작업전극	2mm	Φ2mm	333000
GU-WORKIN-3mm	작업전극	3mm	Φ3mm	350000
GU-WORKIN-4mm	작업전극	4mm	Φ4mm	367000
GU-WORKIN-5mm	작업전극	5mm	Φ5mm	367000
GU-WORKIN-6mm	작업전극	6mm	Φ6mm	367000
GU-WORKIN-1mm-2	작업전극	1mm	Φ1mm	455000
GU-WORKIN-2mm-2	작업전극	2mm	Φ2mm	245000
GU-WORKIN-3mm-2	작업전극	3mm	Φ3mm	245000
GU-WORKIN-4mm-2	작업전극	4mm	Φ4mm	262000
GU-WORKIN-5mm-2	작업전극	5mm	Φ5mm	297000
GU-WORKIN-6mm-2	작업전극	6mm	Φ6mm	542000
GU-WORKIN-7mm	작업전극	7mm	Φ7mm	560000
GU-WORKIN-8mm	작업전극	8mm	Φ8mm	822000
GU-WORKIN-9mm	작업전극	9mm	Φ9mm	1172000
GU-WORKIN-10mm	작업전극	10mm	Φ10mm	1645000
GU-WORKIN-15mm	작업전극	15mm	Φ15mm	3325000
GU-WORKIN-20mm	작업전극	20mm	Φ20mm	5600000
GU-WORKIN-0-5mm	작업전극	0.5mm	Φ0.5mm	158000
GU-WORKIN-1mm-3	작업전극	1mm	Φ1mm	175000
GU-WORKIN-2mm-3	작업전극	2mm	Φ2mm	262000
GU-WORKIN-3mm-3	작업전극	3mm	Φ3mm	280000
GU-WORKIN-4mm-3	작업전극	4mm	Φ4mm	420000
GU-WORKIN-5mm-3	작업전극	5mm	Φ5mm	612000
GU-WORKIN-6mm-3	작업전극	6mm	Φ6mm	962000
GU-WORKIN-0-5mm-2	작업전극	0.5mm	Φ0.5mm	140000
GU-WORKIN-1mm-4	작업전극	1mm	Φ1mm	192000
GU-WORKIN-2mm-4	작업전극	2mm	Φ2mm	438000
GU-WORKIN-3mm-4	작업전극	3mm	Φ3mm	980000
GU-WORKIN-4mm-4	작업전극	4mm	Φ4mm	1575000
GU-WORKIN-5mm-4	작업전극	5mm	Φ5mm	2450000
GU-WORKIN-6mm-4	작업전극	6mm	Φ6mm	3500000
GU-WORKIN-2mm-5	작업전극	2mm	Φ2mm	175000
GU-WORKIN-3mm-5	작업전극	3mm	Φ3mm	192000
GU-WORKIN-4mm-5	작업전극	4mm	Φ4mm	192000
GU-WORKIN-5mm-5	작업전극	5mm	Φ5mm	210000
GU-WORKIN-6mm-5	작업전극	6mm	Φ6mm	228000
GU-WORKIN-2-10mm	작업전극	2×10mm	2×10mm	210000
