web_id	분류	제품명(한글)	SQL 제품군/모델	SQL행	가격대	판정
491797	전기화학재료	양성자교환막 Nafion 115	Nafion 115	1	472,000	확정
491785	전기화학재료	양성자교환막 Nafion 117	Nafion 117 / 117-100×100 / N117	3	350,000~472,000	확정
491783	전기화학재료	양성자교환막 Nafion 211	Nafion 211	1	350,000	확정
491804	전기화학재료	음이온교환막 FUMA	Fuma-FAA-3-50 / FAA-3-pk-130	2	472,000	확정
196479	전기화학재료	X37-50 GradeIRT 교환막	(없음)	0	—	★신규
491751	전기화학재료	소수 카본페이퍼	소수성 카본페이퍼 (독일)	1	595,000	확정
491760	전기화학재료	친수 카본페이퍼 (약소수성)	친수성 카본페이퍼 (대만)	1	—	확정
491735	전기화학재료	소수 카본클로스	소수성 카본패브릭 (대만)	1	—	확정
491741	전기화학재료	친수 카본클로스 (약소수성)	친수성 카본패브릭 (대만)	1	—	확정
491714	전기화학재료	수입 유리탄소판	GC1010~GC2525 계열	24	105,000~3,500,000	확정
491708	전기화학재료	수입 흑연판	흑연 시트	1	—	확정
491701	전기화학재료	폼 니켈	폼 니켈 (Ni foam)	1	—	확정
491694	전기화학재료	폼 구리	폼 구리 (Cu foam)	1	—	확정
491660	전기화학재료	수입 다공성 유리탄소 RVC	다공성 유리탄소 RVC	2	—	확정
491643	전기화학재료	백금판	(없음)	0	—	★신규 — 백금 소재판(일본산 99.99%, 치수·두께 맞춤). 상대전극 铂片电极와 별개
491653	전기화학재료	백금선	(없음)	0	—	★신규 — 백금 와이어 소재 Φ0.1~2mm 99.99%. 완성 전극과 별개
491649	전기화학재료	금선	(없음)	0	—	★신규 — 금 와이어 소재 Φ0.1~2mm 99.999%
491686	전기화학재료	은선	(없음)	0	—	★신규
491640	전기화학재료	각종 금속판	(없음)	0	—	★신규 — 각종 고순도 금속판 (문의)
49164	MEA막전극	막전극 전해셀 (캐소드 비금속)	(없음 / MEA-GP 변형 가능)	0	—	검토 — 캐소드 비금속 재질. 499523=MEA-GP로 확정되어 별개 제품일 가능성
754365	MEA막전극	바이폴라 플레이트 막전극 반응셀	MEA-TI-TI	4	4,025,000~7,525,000	확정
499523	MEA막전극	흑연판 막전극 반응셀	MEA-GP	1	4,025,000	확정 — 웹 "흑연판 막전극" ↔ MEA-GP(Graphite Plate)
5917650	MEA막전극	수냉 온도제어형 막전극 전해셀	MEA-TI-WB	3	5,775,000~24,500,000	확정
2330864	MEA막전극	스택(电堆)	MEA-TI-X	1	문의	확정
1198658	MEA막전극	유로 교체형 MEA 막전극 전해셀	유로 교체형	2	4,550,000	확정
1100994	MEA막전극	가시화 막전극 반응셀	MEA-가시화형	2	4,550,000	확정
1172288	MEA막전극	막전극 전해셀 고전류 솔루션	EC-MEA	1	16,450,000	확정
1791535	MEA막전극	막전극 가열·온도 컨트롤러	EC200-03 / EC200-301	2	1,645,000~1,663,000	확정
(신규)	MEA막전극	in-situ 라만 막전극 전해셀	MEA-TI-RM	1	5,250,000	★역방향 — SQL엔 있는데 웹 목록엔 없음
499601	Flowcell	가스확산 전극 전해셀	101016 / 101017-1 / 101017-1.2	3	2,800,000~4,025,000	확정
1022820	Flowcell	가스확산 전극 전해셀 CP 시리즈	101014 / CP10/CP20	4	753,000~2,800,000	확정
2473552	Flowcell	막전극식 가스확산 전해셀	101019	1	4,725,000	확정
2282049	Flowcell	막전극-가스확산 다기능 전해셀	101018	1	5,250,000	확정
2473567	Flowcell	가시화 기·고체 전기화학셀	QG-20-1~QG-20-4	4	3,675,000~4,550,000	확정 — 웹 "가시화 기·고체" ↔ QG-20 고체전해질 셀
1198596	Flowcell	가스확산 광전기화학셀	MTR-QW / MTR-FC-QW	3	175,000~5,250,000	검토
499035	Flowcell	광촉매 가스확산 전해셀	MTR-4-1 / MTR-4-2	2	2,800,000~3,325,000	검토
498995	Flowcell	사행-챔버 플로우셀	(없음)	0	—	★신규
499348	Flowcell	축전식 탈이온(CDI) 장치	DQ-1 / DQ-2	2	1,662,000~2,275,000	확정
495509	PressureCell	P001 내고압 전해셀	P001-1 / P001-2 / P001-10	3	28,000,000~32,375,000	확정
495500	PressureCell	P002 내고압 H형 막교체 전해셀	P002-1 / P002-2	2	10,325,000~11,550,000	확정
495495	PressureCell	P003 내고압 H형 막교체 전해셀	P003-1 / P003-2	4	21,000,000~24,500,000	확정
492241	PressureCell	맞춤 고압 광촉매셀	P004-1	2	3,500,000~7,525,000	확정
(신규)	PressureCell	PFC 가스확산 고압 플로우 시험 셀	PFC-1 / PFC-2	2	73,500,000~108,500,000	★역방향 — SQL엔 있는데 웹 목록엔 없음
3193106	CO2RR음극촉매	CO2RR 촉매 (Ag계 분말)	Ag NPs 계열	9	350,000~	확정
3193099	CO2RR음극촉매	CO2RR 촉매 (Cu계 분말)	Cu NPs / CuO NPs 계열	13	350,000~	확정
3191960	CO2RR음극촉매	CO2RR 촉매 (Sn계 분말)	Sn NPs 계열	9	350,000~	확정
3193111	CO2RR음극촉매	CO2RR 촉매 (Bi2O3계 분말)	Bi2O3 계열	11	788,000~	확정
3192267	CO2RR음극촉매	CO2RR 촉매 (Ag GDE 캐소드)	Ag-CB/CBH/CBU/CT 계열	8	—	확정
3192300	CO2RR음극촉매	CO2RR 촉매 (Cu GDE 캐소드)	Cu-CB/CT 계열	12	—	확정
3192205	CO2RR음극촉매	CO2RR 촉매 (Sn GDE 캐소드)	Sn-CB/CT 계열	12	—	확정
3192338	CO2RR음극촉매	CO2RR 촉매 (Bi2O3 GDE 캐소드)	Bi2O3-CB/CT 계열	12	—	확정
3193715	CO2RR양극촉매	CO2RR 양극촉매 (티타늄펠트 IrO2)	IrO2-/IrOx- 계열	10	—	확정
3193703	CO2RR양극촉매	CO2RR 양극촉매 (카본페이퍼 IrO2)	IrO2-CCI / IrOx-CCI	2	—	확정
3192221	CO2RR양극촉매	CO2RR 양극촉매 (티타늄펠트 IrO2) 2	NiFe-/NiFeIr- 계열	4	—	검토 — 3193715와 중복 가능
3193731	CO2RR고체전해질	고체 전해질	CO2RR 고체 전해질	1	—	확정
491613	전극연마	전극 연마기	전동 연마기 GU100	1	2,275,000	확정
491610	전극연마	연마재 세트 P400형	수동 연마 킷 P400 시리즈	1	245,000	확정
491606	전극연마	연마재 세트 P800형	수동 연마 세트 P800 시리즈	1	508,000	확정
491605	전극연마	연마분	(없음)	0	—	★신규 — 연마분 단품
491600	전극연마	연마포	(없음)	0	—	★신규 — 연마포 단품
491581	전극연마	전극 연마함	(없음)	0	—	★신규
195051	계측장비	회전원판/링원판 전극 장치	ECR-6100C	1	43,750,000	확정
195052	계측장비	전기화학 워크스테이션	ECstat-302C	1	43,750,000	확정
195053	계측장비	워크스테이션 전류 증폭기	ECboost-4002	1	포함	확정 — ECstat-302C 가격에 포함
3356265	계측장비	나노 입도·제타전위 분석기	(없음)	0	—	★신규 — 전기화학 외 라인
3356242	계측장비	레이저 입도 분석기	(없음)	0	—	★신규 — 전기화학 외 라인
917127	계측장비	휴대형 분석기 (사이트 표기 오기)	(없음)	0	—	★신규 · 제품명 확인 필요
