cat,name,model,url,imgs,nkv,cov,spec,ids,famx,slugx
프레스,15T Manual Pellet Press,YP-15B,http://www.henchld.com/en/15T-Manual-Pellet-Press-PG4264980,6,14,1.0,"{""Instrument model"": ""YP-15B"", ""Pressure range"": ""0-15T(0-30MPa)"", ""Pressure conversion"": ""1MPa=0.5T"", ""Cylinder diameter"": ""80mm"", ""Pressure gauge"": ""하중(T) / 압강(MPa) 2중 눈금 표시"", ""Piston stroke"": ""30mm"", ""Pressure stability"": ""≤1MPa/10min"", ""Table diameter"": ""Φ128mm"", ""Number of columns"": ""2주"", ""Valid space"": ""140×150mm"", ""Dimensions"": ""275×200×490mm"", ""Weight"": ""55kg"", ""Overall structure"": ""수동 유압식 · 단조 가공 · 일체형 구조(68번 내마모 유압유)"", ""Configuration description"": ""According to customer needs, the column can be increased, and various types of round, square, shaped, battery molds can be selected within the pressure range""}",202409011035272810A2004DA34207 202409011035271E3C5603FE50F192 20240901103527EEB6690C539E66B2 202409011035271F387304D9D368DE 202409011035282EF278BE89ED680D 202409011035285B751C13234600D4,P1-manual,pellet-press-yp-15b
프레스,3T Manual Pellet Press,YP-3,http://www.henchld.com/en/3T-Manual-Pellet-Press-PG4264976,6,14,1.0,"{""Instrument model"": ""YP-3"", ""Pressure range"": ""0-3T(0-28.8MPa)"", ""Pressure conversion"": ""1MPa=0.1T"", ""Cylinder diameter"": ""35mm"", ""Pressure gauge"": ""하중(T) / 압강(MPa) 2중 눈금 표시"", ""Piston stroke"": ""30mm"", ""Pressure stability"": ""≤1MPa/10min"", ""Table diameter"": ""Φ68mm"", ""Number of columns"": ""2주"", ""Valid space"": ""90×120mm"", ""Dimensions"": ""205×170×400mm"", ""Weight"": ""23kg"", ""Overall structure"": ""수동 유압식 · 단조 가공 · 일체형 구조(68번 내마모 유압유)"", ""Configuration description"": ""According to customer needs, the column can be increased, and various types of round, square, shaped, battery die can be selected within the pressure range.""}",20240901104314A3D5CA897B35C030 2024090110431463DC7469B877BFD2 20240901104314F1EC0229384FEAA8 202409011043147518C9D3F0F6946A 20240901104314712DFA5753685808 202409011043158A3425F4B4D378C0,P1-manual,pellet-press-yp-3
프레스,12T Manual Pellet Press,YP-12,http://www.henchld.com/en/12T-Manual-Pellet-Press-PG4264978,6,14,1.0,"{""Instrument model"": ""YP-12"", ""Pressure range"": ""0-12T(0-30MPa)"", ""Pressure conversion"": ""1MPa=0.4T"", ""Cylinder diameter"": ""70mm"", ""Pressure gauge"": ""하중(T) / 압강(MPa) 2중 눈금 표시"", ""Piston stroke"": ""30mm"", ""Pressure stability"": ""≤1MPa/10min"", ""Table diameter"": ""Φ78mm"", ""Number of columns"": ""2주"", ""Valid space"": ""96×130mm"", ""Dimensions"": ""230×160×440mm"", ""Weight"": ""28kg"", ""Overall structure"": ""수동 유압식 · 단조 가공 · 일체형 구조(68번 내마모 유압유)"", ""Configuration description"": ""According to customer needs, the column can be increased, and various types of round, square, shaped, battery die can be selected within the pressure range.""}",202409011039192CFC53E977C44312 202409011039191C6113199A5254C1 2024090110392031D7A2810AE59391 20240901103920838BDCC7A465D169 20240901103920B99432070849E241 2024090110392048585A8D52031792,P1-manual,pellet-press-yp-12
프레스,15T Manual Pellet Press,YP-15,http://www.henchld.com/en/15T-Manual-Pellet-Press-PG4264979,6,14,1.0,"{""Instrument model"": ""YP-15"", ""Pressure range"": ""0-15T(0-30MPa)"", ""Pressure conversion"": ""1MPa=0.5T"", ""Cylinder diameter"": ""75mm"", ""Pressure gauge"": ""하중(T) / 압강(MPa) 2중 눈금 표시"", ""Piston stroke"": ""30mm"", ""Pressure stability"": ""≤1MPa/10min"", ""Table diameter"": ""Φ78mm"", ""Number of columns"": ""2주"", ""Valid space"": ""96×130mm"", ""Dimensions"": ""230×160×440mm"", ""Weight"": ""28kg"", ""Overall structure"": ""수동 유압식 · 단조 가공 · 일체형 구조(68번 내마모 유압유)"", ""Configuration description"": ""According to customer needs, the column can be increased, and various types of round, square, shaped, battery molds can be selected within the pressure range""}",2024090110364994809C8BFDAE6C65 2024090110364951A2F7ABAA056AC7 20240901103650D7F65737F32C118C 20240901103650948C8FC1DAFD5DA9 2024090110365088E683125BD24147 2024090110365064FEF9F725BBC02A,P1-manual,pellet-press-yp-15
프레스,5T Manual Pellet Press,YP-5,http://www.henchld.com/en/5T-Manual-Pellet-Press-PG4264977,6,14,1.0,"{""Instrument model"": ""YP-5"", ""Pressure range"": ""0-5T(0-31.4MPa)"", ""Pressure conversion"": ""1MPa=0.16T"", ""Cylinder diameter"": ""45mm"", ""Pressure gauge"": ""하중(T) / 압강(MPa) 2중 눈금 표시"", ""Piston stroke"": ""30mm"", ""Pressure stability"": ""≤1MPa/10min"", ""Table diameter"": ""Φ68mm"", ""Number of columns"": ""2주"", ""Valid space"": ""90×120mm"", ""Dimensions"": ""205×170×400mm"", ""Weight"": ""23kg"", ""Overall structure"": ""수동 유압식 · 단조 가공 · 일체형 구조(68번 내마모 유압유)"", ""Configuration description"": ""According to customer needs, the column can be increased, and various types of round, square, shaped, battery die can be selected within the pressure range.""}",20240901104044DFEF3491D9C4D768 20240901104044F14F18CE53C24DCB 202409011040444F3017B3A30DCC2B 202409011040454B0C9171B0F6BAEB 20240901104045EEF03858E0C86269 202409011040452E77BB4B94709C14,P1-manual,pellet-press-yp-5
프레스,30T Manual Pellet Press,YP-30,http://www.henchld.com/en/30T-Manual-Pellet-Press-PG4264983,6,12,1.0,"{""Instrument model"": ""YP-30"", ""Pressure range"": ""0-30T(0-31.5MPa)"", ""Pressure conversion"": ""1MPa=0.95T"", ""Cylinder diameter"": ""110mm"", ""Pressure gauge"": ""하중(T) / 압강(MPa) 2중 눈금 표시"", ""Piston stroke"": ""40mm"", ""Pressure stability"": ""≤1MPa/10min"", ""Table diameter"": ""Φ128mm"", ""Number of columns"": ""4주"", ""Valid space"": ""92×92×160mm"", ""Dimensions"": ""275×210×490mm"", ""Weight"": ""58kg"", ""Overall structure"": ""수동 유압식 · 단조 가공 · 일체형 구조(68번 내마모 유압유)"", ""Model"": ""YP-30"", ""Pressure"": ""0-30T（31.5MPa）"", ""Piston diameter"": ""Chrome-plated cylinder Φ110mm（d）"", ""Column spacing"": ""92×160mm（M×N）""}",2024090110265909ADB628D7C7CC2F 2024090110270081985EB49ABE3DF2 202409011027007913400179D17668 20240901102700CBB684A8F248FC27 202409011027001D0972E38B325510 20240901102700778BC087C544BD79,P1-manual,pellet-press-yp-30
프레스,24T Manual Pellet Press,YP-24,http://www.henchld.com/en/24T-Manual-Pellet-Press-PG4264982,6,14,1.0,"{""Instrument model"": ""YP-24"", ""Pressure range"": ""0-24T(0-34MPa)"", ""Pressure conversion"": ""1MPa=0.7T"", ""Cylinder diameter"": ""95mm"", ""Pressure gauge"": ""하중(T) / 압강(MPa) 2중 눈금 표시"", ""Piston stroke"": ""30mm"", ""Pressure stability"": ""≤1MPa/10min"", ""Table diameter"": ""Φ108mm"", ""Number of columns"": ""4주"", ""Valid space"": ""80×80×150mm"", ""Dimensions"": ""245×180×460mm"", ""Weight"": ""42kg"", ""Overall structure"": ""수동 유압식 · 단조 가공 · 일체형 구조(68번 내마모 유압유)"", ""Configuration description"": ""According to customer needs, the column can be increased, and varioustypes of round, square, shaped, battery die can be selected within the pressure range.""}",20240901102828F68C91F916802F5A 20240901102828B66775F4F0337EAC 2024090110282914A9BE5D284BC61B 202409011028296F1CA7F0F52495B8 202409011028294D896FB307CF27D9 202409011028296D0C6E9893CDF275,P1-manual,pellet-press-yp-24
프레스,3T Digital Manual Pellet Press,YP-3S,http://www.henchld.com/en/3T-Digital-Manual-Pellet-Press-PG4264985,6,14,1.0,"{""Instrument model"": ""YP-3S"", ""Pressure range"": ""0-3T(0-28.8MPa)"", ""Cylinder diameter"": ""35mm"", ""Pressure conversion"": ""1MPa=0.1T"", ""Pressure gauge"": ""DDNT 고정밀 디지털 센서 · T/MPa 전환 표시 · 정밀도 0.01T"", ""Piston stroke"": ""30mm"", ""Pressure stability"": ""≤1MPa/10min"", ""Table diameter"": ""Φ68mm"", ""Number of columns"": ""2주"", ""Valid space"": ""90×120mm"", ""Dimensions"": ""205×170×400mm"", ""Weight"": ""23kg"", ""Overall structure"": ""수동 유압식 · 단조 가공 · 일체형 구조(68번 내마모 유압유)"", ""Configuration description"": ""According to customer needs, the column can be increased, and various types of round, square, shaped, battery die can be selected within the pressure range.""}",202409011012264E4C70C429182CA9 202409011012268A5E1A5158F391A7 20240901101226E0C38A0B47988E02 20240901101227A16E62A1CFA94E65 20240901101227DA763C49552D7F65 202409011012275EE7D8CC4A85E0E5,P2-digital,digital-pellet-press-yp-3s
프레스,15T Pellet Press（4 Columns）,YP-15R,http://www.henchld.com/en/15T-Pellet-Press-4-Columns-PG4264981,6,14,1.0,"{""Instrument model"": ""YP-15R"", ""Pressure range"": ""0-15T(0-30MPa)"", ""Pressure conversion"": ""1MPa=0.5T"", ""Cylinder diameter"": ""80mm"", ""Pressure gauge"": ""하중(T) / 압강(MPa) 2중 눈금 표시"", ""Piston stroke"": ""30mm"", ""Pressure stability"": ""≤1MPa/10min"", ""Table diameter"": ""Φ88mm"", ""Number of columns"": ""4주"", ""Valid space"": ""80×80×150mm"", ""Dimensions"": ""245×180×460mm"", ""Weight"": ""42kg"", ""Overall structure"": ""수동 유압식 · 단조 가공 · 일체형 구조(68번 내마모 유압유)"", ""Configuration description"": ""According to customer needs, the column can be increased, and varioustypes of round, square, shaped, battery die can be selected within the pressure range.""}",20240901103007C3B5CFFCEBDC8B7A 20240901103007482EFBC1F9B1D64E 20240901103007468B1BDE67DF05F2 202409011030076559098AB1D3F5CE 20240901103008FC905B2B331D3B00 20240901103008B0DB7928EC2259A5,P1-manual,pellet-press-yp-15r
프레스,40T Manual Pellet Press,YP-40,http://www.henchld.com/en/40T-Manual-Pellet-Press-PG4264984,6,14,1.0,"{""Instrument model"": ""YP-40"", ""Pressure range"": ""0-40T(0-30MPa)"", ""Cylinder diameter"": ""130mm"", ""Pressure conversion"": ""1MPa=1.33T"", ""Pressure gauge"": ""하중(T) / 압강(MPa) 2중 눈금 표시"", ""Piston stroke"": ""50mm"", ""Pressure stability"": ""≤1MPa/10min"", ""Table diameter"": ""Φ148mm"", ""Number of columns"": ""4주"", ""Valid space"": ""106×106×180mm"", ""Dimensions"": ""295×232×560mm"", ""Weight"": ""78kg"", ""Overall structure"": ""수동 유압식 · 단조 가공 · 일체형 구조(68번 내마모 유압유)"", ""Configuration description"": ""According to customer needs, the column can be increased, and varioustypes of round, square, shaped, battery die can be selected within the pressure range.""}",20240901102526BE2396A17C43E1E0 20240901102527FC2A5C3ECE77D0F4 2024090110252710C45ADD0F03FA3E 202409011025276D2E284971619E74 202409011025276BEF8006FBD4EACD 20240901102527F3939125F4559648,P1-manual,pellet-press-yp-40
